0  0.54 0.22 0.51 0.64 0.11 0.52   0.95 0.1 0.45 0.7 0.3 0.35 1 0.45 0.6 0.95 0.5 0.2 0.95 0.7 0.2 0.6 0.65 0.05 1 0.8 0.25 0.7 0.1 0.75 0.9 0.8 0.4 0.8 0.45 0.15 1 0.35 0.6 0.75 0.3 0.75 

1  0.17 0.68 0.56 0.31 0.7 0.22   0.9 0.2 0.85 0.6 0.2 0.15 1 0.6 0.35 0.4 0.5 0.4 1 0.35 0.4 0.8 0.5 0.4 1 0.3 0.65 0.4 0.1 0.65 1 0.6 0.25 0.75 0.45 0.85 0.95 0.4 0.3 0.9 0.1 0.5 

2  0.1 0.64 0.24 0.77 0.16 0.67   1 0.3 0.25 1 0.3 0.1 0.9 0.55 0.3 0.65 0.45 0.2 1 0.1 0.7 0.8 0.1 0.15 0.95 1 0.45 0.85 0.1 0.85 0.95 0.75 0.45 0.9 0.45 0.25 1 0.5 0.45 1 0.3 0.75 

3  0.67 0.08 0.92 0.16 0.67 0.52   0.95 0.05 0.6 0.3 0.4 0.95 1 0.45 0.25 0.35 0.85 0.45 1 0.6 0.55 0.6 0.2 0.85 1 0.4 0.35 1 0.05 0.1 1 1 0.4 1 0.6 0.25 0.95 0.05 0.8 0.85 0.5 0.2 

4  0.69 0.64 0.24 0.66 0.39 0.1   1 0.45 0.25 0.8 0.95 0.75 1 0.05 0.7 0.45 0.15 0.2 1 0.25 0.25 1 0.3 0.25 0.95 0 0.35 0.9 0.3 0.15 0.95 0.75 0.45 0.85 0.45 0.5 0.95 0.65 0.6 0.85 0.05 0.15 

